year_key,league_key,team_key,park_key,games,openings,attendance
1886,AA,PH4,PHI01,71,2,11000
1886,NL,PHI,PHI04,62,2,9058
1886,AA,PT1,PIT04,74,1,1000
1886,AA,SL4,STL03,70,4,33000
1886,NL,SL5,STL04,63,1,3500
1886,NL,WS8,WAS05,66,4,6700
1887,AA,BL2,BAL03,68,2,15500
1887,AA,BR3,NYC05,59,4,36500
1887,AA,BR3,NYC18,15,3,25000
1887,NL,BSN,BOS01,60,4,41000
1887,NL,CHN,CHI06,67,4,34000
1887,AA,CL3,CLE03,59,7,17200
1887,AA,CL3,CLE09,1,0,0
1887,AA,CN2,CIN04,73,2,20000
1887,NL,DTN,DET01,62,5,16700
1887,NL,IN3,IND04,64,2,4200
1887,AA,LS2,LOU02,69,3,12000
1887,NL,NY1,NYC03,63,8,51525
1887,AA,NY4,NYC05,1,0,0
1887,AA,NY4,SAI01,60,2,4000
1887,AA,NY4,WEE01,1,0,0
1887,AA,PH4,PHI01,71,4,29500
1887,NL,PHI,PHI06,64,2,26500
1887,NL,PIT,PIT04,65,7,33500
1887,AA,SL4,STL03,73,2,15000
1887,NL,WS8,WAS05,62,4,8300
1887,NL,WS8,WOR02,1,0,0
1888,AA,BL2,BAL03,56,0,0
1888,AA,BR3,NYC05,56,6,9200
1888,AA,BR3,NYC18,20,0,0
1888,NL,BSN,BOS03,68,1,15000
1888,NL,CHN,CHI06,70,3,28000
1888,AA,CL3,CLE03,56,3,1500
1888,AA,CL3,GEA01,3,0,0
1888,AA,CL3,NEW03,1,0,0
1888,AA,CN2,CIN04,82,4,17900
1888,NL,DTN,DET01,68,2,14000
1888,NL,IN3,IND05,66,3,8000
1888,AA,KC2,KAN02,56,1,1000
1888,AA,KC2,KAN03,1,0,0
1888,AA,LS2,LOU02,60,1,1200
1888,NL,NY1,NYC03,70,8,51900
1888,AA,PH4,GLO01,3,0,0
1888,AA,PH4,PHI01,72,1,2014
1888,NL,PHI,PHI06,66,1,1200
1888,NL,PIT,PIT04,70,4,13000
1888,AA,SL4,STL03,82,1,8000
1888,NL,WS8,WAS05,66,0,0
1889,AA,BL2,BAL06,67,1,2108
1889,AA,BR3,NYC05,8,0,0
1889,AA,BR3,NYC08,49,7,57759
1889,AA,BR3,NYC18,14,2,12684
1889,NL,BSN,BOS03,68,1,10000
1889,NL,CHN,CHI06,69,0,0
1889,NL,CL4,CLE03,68,1,10000
1889,AA,CL6,COL02,69,0,0
1889,AA,CN2,CIN04,74,3,22000
1889,NL,IN3,IND05,69,0,0
1889,AA,KC2,KAN03,70,0,0
1889,AA,LS2,LOU02,64,2,3000
1889,NL,NY1,JER01,2,0,0
1889,NL,NY1,NYC09,38,1,2000
1889,NL,NY1,SAI01,23,2,5490
1889,AA,PH4,GLO01,14,0,0
1889,AA,PH4,PHI01,59,2,3078
1889,NL,PHI,PHI06,68,0,0
1889,NL,PIT,PIT04,70,0,0
1889,AA,SL4,STL03,71,1,14000
1889,NL,WS8,WAS05,56,0,0
1890,PL,BFP,BUF03,65,4,2292
1890,AA,BL3,BAL06,22,1,4192
1890,AA,BR4,MAS01,2,0,0
1890,AA,BR4,NYC09,8,0,0
1890,AA,BR4,NYC18,28,3,6362
1890,NL,BRO,NYC08,74,5,15061
1890,PL,BRP,NYC11,66,7,8134
